Part Number	Product Description	Product Size	Packaging UOM	Price	List Price	List vs. Price % Change	12 Month Quantity Ordered	Average Price per Quantity	Total Estimated Impact	Product visible	Reason not visible	Included In Product Views	Manufacturer Name	Manufacturer Part Number	Category	Category UNSPSC	Commodity Code	UNSPSC
"DC6531"	"DC6531 PowerPlex 16 System, 100 reactions"	"100 reactions"	"EA"	"2348.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"DC6531"	"DNA Amplification Kits"	"41-10-63-00"	"00111"	"41106103"
"DD1001"	"DD1001 9947A DNA, 250ng"	"250ng"	"EA"	"133.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"DD1001"	"Genomic DNA"	"41-10-63-10"	"00111"	"41106103"
"DC6540"	"DC6540 PowerPlex 16 BIO System, 400 reactions"	"400 reactions"	"EA"	"7371.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"DC6540"	"DNA Amplification Kits"	"41-10-63-00"	"00111"	"41106103"
"G7590"	"G7590 TGF beta 1 Emax ImmunoAssay System, 2 x 96 wells"	"2 x 96 wells"	"EA"	"336.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7590"	"Immunoassay Kits"	"41-11-61-26"	"00278"	"41116126"
"G7360"	"G7360 DeadEnd Colorimetric TUNEL System, 20 reactions"	"20 reactions"	"EA"	"304.00"	""	""	"1"	"304.00"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7360"	"Apoptosis Detection Kits"	"41-11-61-33"	"00278"	"41116133"
"E2661"	"E2661 Glo Lysis Buffer, 1X, 100ml"	"100ml"	"EA"	"50.02"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2661"	"Biological Buffers"	"12-16-17-00"	"00278"	"41106513"
"G7431"	"G7431 TMB One Solution, 100ml"	"100ml"	"EA"	"75.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7431"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116126"
"U1202"	"U1202 dATP, 200micromol"	"200micromol"	"EA"	"293.25"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"U1202"	"Deoxynucleotides"	"41-10-63-01"	"00111"	"41106301"
"U1212"	"U1212 dGTP, 200micromol"	"200micromol"	"EA"	"293.25"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"U1212"	"Deoxynucleotides"	"41-10-63-01"	"00111"	"41106301"
"U1222"	"U1222 dCTP, 200micromol"	"200micromol"	"EA"	"293.25"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"U1222"	"Deoxynucleotides"	"41-10-63-01"	"00111"	"41106301"
"U1232"	"U1232 dTTP, 200micromol"	"200micromol"	"EA"	"293.25"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"U1232"	"Deoxynucleotides"	"41-10-63-01"	"00111"	"41106301"
"U1410"	"U1410 Set of dATP, dCTP, dGTP, dTTP, 200micromol"	"200micromol"	"EA"	"902.25"	""	""	"1"	"902.25"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"U1410"	"Deoxynucleotides"	"41-10-63-01"	"00111"	"41106301"
"A3800"	"A3800 ImProm-II Reverse Transcription System, 100 reactions"	"100 reactions"	"EA"	"354.40"	""	""	"1"	"354.40"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A3800"	"RT-PCR Kits"	"41-10-63-13"	"00111"	"41106306"
"A7112"	"A7112 Cell Resuspension Solution (CRA), 150ml"	"150ml"	"EA"	"30.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A7112"	"Plasmid Purification Kit Components"	"41-10-55-12"	"00111"	"41105514"
"A2360"	"A2360 Wizard SV Genomic DNA Purification System, 50 preps"	"50 preps"	"EA"	"82.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A2360"	"Genomic DNA Purification Kits"	"41-10-55-04"	"00111"	"41105504"
"A2361"	"A2361 Wizard SV Genomic DNA Purification System, 250 preps"	"250 preps"	"EA"	"330.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A2361"	"Genomic DNA Purification Kits"	"41-10-55-04"	"00111"	"41105504"
"Z3052"	"Z3052 Wizard SV Lysis Buffer, 50ml"	"50ml"	"EA"	"36.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"Z3052"	"Genomic DNA Purification Kit Components"	"41-10-55-04"	"00111"	"41105512"
"A2370"	"A2370 Wizard SV 96 Genomic DNA Purification System, 1 x 96 preps"	"1 x 96 preps"	"EA"	"151.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A2370"	"Genomic DNA Purification Kits"	"41-10-55-04"	"00111"	"41105504"
"A2371"	"A2371 Wizard SV 96 Genomic DNA Purification System, 4 x 96 preps"	"4 x 96 preps"	"EA"	"561.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A2371"	"Genomic DNA Purification Kits"	"41-10-55-04"	"00111"	"41105504"
"V8151"	"V8151 MagnaBot 96 Magnetic Separation Device, 1 each"	"1 each"	"EA"	"464.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"V8151"	"Automated Nucleic Acid Purification System Accessories"	"41-10-55-00"	"00111"	"41121501"
"E2550"	"E2550 Steady-Glo Luciferase Assay System, 10 x 100ml"	"10 x 100ml"	"EA"	"4587.08"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2550"	"Luciferase Reporter Detection Kits"	"41-10-65-13"	"00111"	"41106513"
"G7610"	"G7610 BDNF Emax ImmunoAssay System, 2 x 96 wells"	"2 x 96 wells"	"EA"	"336.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7610"	"Immunoassay Kits"	"41-11-61-26"	"00278"	"41116126"
"G7620"	"G7620 GDNF Emax ImmunoAssay System, 2 x 96 wells"	"2 x 96 wells"	"EA"	"336.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7620"	"Immunoassay Kits"	"41-11-61-26"	"00278"	"41116126"
"G7341"	"G7341 Anti-PARP p85 Fragment pAb, 50microl"	"50microl"	"EA"	"313.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7341"	"Apoptosis Detection Kit Components"	"41-11-61-33"	"00278"	"41116126"
"G7481"	"G7481 Anti-ACTIVE Caspase-3 pAb, 50microl"	"50microl"	"EA"	"265.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7481"	"Apoptosis Detection Kit Components"	"41-11-61-33"	"00278"	"41116126"
"G7451"	"G7451 Anti-Luciferase pAb, 200microg"	"200microg"	"EA"	"176.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7451"	"Primary Antibodies"	"12-35-22-03"	"00278"	"41116126"
"P1711"	"P1711 Ribo m7G Cap Analog, 10 A254 units"	"10 A254 units"	"EA"	"111.52"	""	""	"1"	"108.24"	"3.28"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P1711"	"Ribonucleotides"	"41-10-58-02"	"00111"	"41116134"
"P1712"	"P1712 Ribo m7G Cap Analog, 25 A254 units"	"25 A254 units"	"EA"	"201.72"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"P1712"	"Ribonucleotides"	"41-10-58-02"	"00111"	"41116134"
"E2610"	"E2610 Bright-Glo Luciferase Assay System, 10ml"	"10ml"	"EA"	"101.68"	""	""	"5"	"101.68"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2610"	"Luciferase Reporter Detection Kits"	"41-10-65-13"	"00111"	"41106513"
"E2620"	"E2620 Bright-Glo Luciferase Assay System, 100ml"	"100ml"	"EA"	"610.90"	""	""	"2"	"610.90"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2620"	"Luciferase Reporter Detection Kits"	"41-10-65-13"	"00111"	"41106513"
"E2650"	"E2650 Bright-Glo Luciferase Assay System, 10 x 100ml"	"10 x 100ml"	"EA"	"5184.86"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2650"	"Luciferase Reporter Detection Kits"	"41-10-65-13"	"00111"	"41106513"
"DC6700"	"DC6700 DNA IQ System, 400 reactions"	"400 reactions"	"EA"	"698.00"	""	""	"10"	"698.00"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"DC6700"	"Genomic DNA Purification Kits"	"41-10-55-04"	"00111"	"41105504"
"V1221"	"V1221 DNA IQ Spin Baskets, 1,000/bag"	"1,000/bag"	"EA"	"231.00"	""	""	"2"	"231.00"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"V1221"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105504"
"E2810"	"E2810 Renilla Luciferase Assay System, 100 assays"	"100 assays"	"EA"	"114.80"	""	""	"4"	"114.80"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2810"	"Luciferase Reporter Detection Kits"	"41-10-65-13"	"00111"	"41106513"
"E2820"	"E2820 Renilla Luciferase Assay System, 1,000 assays"	"1,000 assays"	"EA"	"555.96"	""	""	"4"	"551.25"	"18.84"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2820"	"Luciferase Reporter Detection Kits"	"41-10-65-13"	"00111"	"41106513"
"A3801"	"A3801 ImProm-II Reverse Transcriptase, 10 reactions"	"10 reactions"	"EA"	"11.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A3801"	"Reverse Transcriptases"	"12-35-22-04"	"00111"	"41106306"
"A3802"	"A3802 ImProm-II Reverse Transcriptase, 100 reactions"	"100 reactions"	"EA"	"107.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A3802"	"Reverse Transcriptases"	"12-35-22-04"	"00111"	"41106306"
"A3803"	"A3803 ImProm-II Reverse Transcriptase, 500 reactions"	"500 reactions"	"EA"	"415.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A3803"	"Reverse Transcriptases"	"12-35-22-04"	"00111"	"41106306"
"G7570"	"G7570 CellTiter-Glo Luminescent Cell Viability Assay, 10ml"	"10ml"	"EA"	"86.10"	""	""	"14"	"86.10"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7570"	"Cell Proliferation / Viability Assays"	"41-11-61-11"	"00278"	"41116133"
"G7571"	"G7571 CellTiter-Glo Luminescent Cell Viability Assay, 10 x 10ml"	"10 x 10ml"	"EA"	"394.42"	""	""	"40"	"393.56"	"34.40"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7571"	"Cell Proliferation / Viability Assays"	"41-11-61-11"	"00278"	"41116133"
"G7572"	"G7572 CellTiter-Glo Luminescent Cell Viability Assay, 100ml"	"100ml"	"EA"	"306.68"	""	""	"57"	"305.41"	"72.39"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7572"	"Cell Proliferation / Viability Assays"	"41-11-61-11"	"00278"	"41116133"
"G7573"	"G7573 CellTiter-Glo Luminescent Cell Viability Assay, 10 x 100ml"	"10 x 100ml"	"EA"	"2614.98"	""	""	"24"	"2595.91"	"457.68"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7573"	"Cell Proliferation / Viability Assays"	"41-11-61-11"	"00278"	"41116133"
"S1000"	"S1000 AttoPhos AP Fluorescent Substrate System, 3 x 36mg"	"3 x 36mg"	"EA"	"286.18"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"S1000"	"Western Blotting Kits"	"41-10-53-00"	"00111"	"41105332"
"S1001"	"S1001 AttoPhos AP Fluorescent Substrate System Trial Size, 1 x 36mg"	"1 x 36mg"	"EA"	"99.22"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"S1001"	"Western Blotting Kits"	"41-10-53-00"	"00111"	"41105332"
"S1011"	"S1011 AttoPhos Substrate, 36mg"	"36mg"	"EA"	"68.88"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"S1011"	"Enzyme Substrates"	"41-11-61-27"	"00278"	"41105332"
"S1012"	"S1012 AttoPhos Substrate, 100mg"	"100mg"	"EA"	"119.72"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"S1012"	"Enzyme Substrates"	"41-11-61-27"	"00278"	"41105332"
"S1013"	"S1013 AttoPhos Substrate, 1g"	"1g"	"EA"	"620.74"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"S1013"	"Enzyme Substrates"	"41-11-61-27"	"00278"	"41105332"
"S1021"	"S1021 AttoPhos Buffer, 60ml"	"60ml"	"EA"	"34.44"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"S1021"	"Enzyme Substrates"	"41-11-61-27"	"00278"	"41105332"
"S1022"	"S1022 AttoPhos Buffer, 240ml"	"240ml"	"EA"	"75.44"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"S1022"	"Enzyme Substrates"	"41-11-61-27"	"00278"	"41105332"
"A1831"	"A1831 Wizard MagneSil Sequencing Reaction Clean-Up System, 4 x 96 preps"	"4 x 96 preps"	"EA"	"168.70"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A1831"	"DNA Cleanup Kits"	"41-10-55-01"	"00111"	"41105501"
"A1832"	"A1832 Wizard MagneSil Sequencing Reaction Clean-Up System, 8 x 96 preps"	"8 x 96 preps"	"EA"	"336.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A1832"	"DNA Cleanup Kits"	"41-10-55-01"	"00111"	"41105501"
"A1835"	"A1835 Wizard MagneSil Sequencing Reaction Clean-Up System, HTP1, 100 x 96 preps"	"100 x 96 preps"	"EA"	"3463.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A1835"	"DNA Cleanup Kits"	"41-10-55-01"	"00111"	"41105501"
"E2821"	"E2821 Thermal Serial Printer and Universal Power Cable, 1 each"	"1 each"	"EA"	"670.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2821"	"Luminometer Accessories"	"41-11-30-02"	"00111"	"41115308"
"E2851"	"E2851 Thermal Printer Paper, 1 each"	"1 each"	"EA"	"26.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"E2851"	"Luminometer Accessories"	"41-11-30-02"	"00111"	"41115308"
"V1141"	"V1141 Anti-ERK 1/2 pAb, Rabbit, 40microl"	"40microl"	"EA"	"206.64"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"V1141"	"Primary Antibodies"	"12-35-22-03"	"00278"	"41116126"
"V1211"	"V1211 Anti-ACTIVE p38 pAb, Rabbit, (pTGpY), 100microl"	"100microl"	"EA"	"314.06"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"V1211"	"Primary Antibodies"	"12-35-22-03"	"00278"	"41116126"
"G7441"	"G7441 Anti-pS473 Akt pAb, 40microl"	"40microl"	"EA"	"300.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7441"	"Primary Antibodies"	"12-35-22-03"	"00278"	"41116126"
"A8191"	"A8191 Lysis Buffer A, Food, 100ml"	"100ml"	"EA"	"89.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A8191"	"Nucleic Acid Purification Kit Components"	"41-10-55-00"	"00111"	"41105502"
"FF3750"	"FF3750 Wizard Magnetic DNA Purification System for Food, 200 preps"	"200 preps"	"EA"	"801.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"FF3750"	"Nucleic Acid Purification Kits"	"41-10-55-00"	"00111"	"41105502"
"FF3751"	"FF3751 Wizard Magnetic DNA Purification System for Food, 400 preps"	"400 preps"	"EA"	"1442.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"FF3751"	"Nucleic Acid Purification Kits"	"41-10-55-00"	"00111"	"41105502"
"Z3191"	"Z3191 Lysis Buffer B, Food, 100ml"	"100ml"	"EA"	"205.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"Z3191"	"Genomic DNA Purification Kit Components"	"41-10-55-04"	"00111"	"41105504"
"Z3201"	"Z3201 Precipitation Solution, Food, 150ml"	"150ml"	"EA"	"340.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"Z3201"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105504"
"Z3091"	"Z3091 RNA Wash Solution (RWA), 58.8ml"	"58.8ml"	"EA"	"35.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"Z3091"	"Total RNA Purification Kits"	"41-10-55-18"	"00111"	"41105518"
"Z3500"	"Z3500 SV 96 Total RNA Isolation System, 1 x 96 each"	"1 x 96 each"	"EA"	"258.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"Z3500"	"Total RNA Purification Kits"	"41-10-55-18"	"00111"	"41105518"
"Z3505"	"Z3505 SV 96 Total RNA Isolation System, 5 x 96 each"	"5 x 96 each"	"EA"	"1126.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"Z3505"	"Total RNA Purification Kits"	"41-10-55-18"	"00111"	"41105518"
"G7461"	"G7461 CaspACE FITC-VAD-FMK In Situ Marker, 50microl"	"50microl"	"EA"	"226.40"	""	""	"1"	"226.40"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7461"	"Apoptosis Detection Kits"	"41-11-61-33"	"00278"	"41116133"
"G7462"	"G7462 CaspACE FITC-VAD-FMK In Situ Marker, 125microl"	"125microl"	"EA"	"470.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7462"	"Apoptosis Detection Kits"	"41-11-61-33"	"00278"	"41116133"
"A2271"	"A2271 Wizard SV 96 Binding Plates, 10 pack"	"10 pack"	"EA"	"522.20"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"A2271"	"Plasmid Purification Kit Components"	"41-10-55-12"	"00111"	"41105512"
"G5961"	"G5961 Caspase Inhibitor Ac-DEVD-CHO, 100microl"	"100microl"	"EA"	"161.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G5961"	"Apoptosis Detection Kit Components"	"41-11-61-33"	"00278"	"41116133"
"G7511"	"G7511 BenchTop PhiX174 DNA/HaeIII Markers, 250microl"	"250microl"	"EA"	"102.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7511"	"DNA Molecular Weight Markers"	"41-10-53-35"	"00025"	"41105335"
"G7521"	"G7521 BenchTop pGEM DNA Markers, 250microl"	"250microl"	"EA"	"89.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7521"	"DNA Molecular Weight Markers"	"41-10-53-35"	"00025"	"41105335"
"G7531"	"G7531 BenchTop PCR Markers, 300microl"	"300microl"	"EA"	"106.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7531"	"DNA Molecular Weight Markers"	"41-10-53-35"	"00025"	"41105335"
"G7541"	"G7541 BenchTop 1kb DNA Ladder, 600microl"	"600microl"	"EA"	"95.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"G7541"	"DNA Ladders"	"41-10-53-35"	"00025"	"41105335"
"H5001"	"H5001 Boric Acid, Molecular Biology Grade, 500g"	"500g"	"EA"	"39.60"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5001"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105323"
"H5003"	"H5003 Boric Acid, Molecular Biology Grade, 1kg"	"1kg"	"EA"	"64.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5003"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105323"
"H5031"	"H5031 EDTA, Disodium Salt, Molecular Biology Grade, 100g"	"100g"	"EA"	"32.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5031"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5032"	"H5032 EDTA, Disodium Salt, Molecular Biology Grade, 500g"	"500g"	"EA"	"90.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5032"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5041"	"H5041 Ethidium Bromide Solution, Molecular Grade, 10ml"	"10ml"	"EA"	"36.00"	""	""	"1"	"24.31"	"11.69"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5041"	"Dyes and Stains"	"12-17-15-00"	"00025"	"41105321"
"H5051"	"H5051 Formamide, Molecular Grade, 100ml"	"100ml"	"EA"	"47.70"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5051"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105326"
"H5052"	"H5052 Formamide, Molecular Grade, 500ml"	"500ml"	"EA"	"100.80"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5052"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105326"
"H5071"	"H5071 Glycine, Molecular Biology Grade, 500g"	"500g"	"EA"	"53.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5071"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5073"	"H5073 Glycine, Molecular Biology Grade, 1kg"	"1kg"	"EA"	"90.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5073"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5113"	"H5113 Sodium Dodecyl Sulfate, Molecular Biology Grade (SDS), 100g"	"100g"	"EA"	"45.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5113"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105326"
"H5114"	"H5114 Sodium Dodecyl Sulfate, Molecular Biology Grade (SDS), 500g"	"500g"	"EA"	"121.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5114"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105326"
"H5115"	"H5115 Sodium Dodecyl Sulfate, Molecular Biology Grade (SDS), 1kg"	"1kg"	"EA"	"230.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5115"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105326"
"H5125"	"H5125 Tris-HCl, Molecular Biology Grade, 2,500g"	"2,500g"	"EA"	"371.70"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5125"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5135"	"H5135 Tris Base, Molecular Biology Grade, 2,500g"	"2,500g"	"EA"	"212.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5135"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5141"	"H5141 Triton X-100, Molecular Biology Grade, 500ml"	"500ml"	"EA"	"87.30"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5141"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5142"	"H5142 Triton X-100, Molecular Biology Grade, 100ml"	"100ml"	"EA"	"26.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5142"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5151"	"H5151 Tween 20, Molecular Biology Grade, 500ml"	"500ml"	"EA"	"66.60"	""	""	"1"	"66.60"	"0.00"	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5151"	"Detergents/Surfactants"	"12-16-19-02"	"00111"	"41116134"
"H5152"	"H5152 Tween 20, Molecular Biology Grade, 100ml"	"100ml"	"EA"	"31.50"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5152"	"Detergents/Surfactants"	"12-16-19-02"	"00111"	"41116134"
"H5252"	"H5252 Ammonium Sulfate, Molecular Biology Grade, 5kg"	"5kg"	"EA"	"125.10"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5252"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41105319"
"H5271"	"H5271 Sodium Chloride, Molecular Biology Grade, 500g"	"500g"	"EA"	"32.40"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5271"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5273"	"H5273 Sodium Chloride, Molecular Biology Grade, 1kg"	"1kg"	"EA"	"45.00"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5273"	"Biochemical Reagents"	"12-35-22-00"	"00025"	"41116134"
"H5302"	"H5302 HEPES, Molecular Biology Grade (free acid), 100g"	"100g"	"EA"	"63.90"	""	""	""	""	""	"true"	""	"PO_n_NotOpenOrder_Suppliers"	"Promega Corporation"	"H5302"	"Biological Buffers"	"12-16-17-00"	"00278"	"41116134"
